"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2015","4,249.10","4,304.85","4,309.45","4,205.00","497.52K","-1.24%"
"31/08/2015","4,302.65","4,199.60","4,319.75","4,180.80","463.21K","2.92%"
"28/08/2015","4,180.75","4,230.00","4,239.10","4,158.75","294.74K","1.23%"
"27/08/2015","4,130.10","4,122.00","4,194.00","4,085.40","647.94K","1.70%"
"26/08/2015","4,061.20","4,105.00","4,130.00","3,971.00","440.75K","-1.08%"
"25/08/2015","4,105.35","4,076.00","4,150.00","3,932.00","454.38K","1.54%"
"24/08/2015","4,043.25","4,150.00","4,198.55","4,024.20","401.48K","-4.73%"
"21/08/2015","4,244.05","4,312.95","4,312.95","4,211.20","415.65K","-1.20%"
"20/08/2015","4,295.60","4,251.00","4,327.70","4,251.00","681.44K","1.52%"
"19/08/2015","4,231.30","4,230.00","4,268.75","4,197.05","556.44K","0.95%"
"18/08/2015","4,191.35","4,204.50","4,224.00","4,159.15","420.18K","0.24%"
"17/08/2015","4,181.45","4,219.00","4,228.55","4,159.35","216.03K","-1.79%"
"14/08/2015","4,257.75","4,313.00","4,337.95","4,228.00","270.50K","-0.79%"
"13/08/2015","4,291.75","4,294.00","4,317.95","4,247.10","233.17K","0.39%"
"12/08/2015","4,275.00","4,228.20","4,285.85","4,204.00","286.07K","1.21%"
"11/08/2015","4,223.85","4,281.00","4,307.00","4,184.95","274.20K","-0.84%"
"10/08/2015","4,259.70","4,257.00","4,318.30","4,243.25","292.11K","0.02%"
"07/08/2015","4,258.85","4,258.00","4,275.00","4,230.00","214.76K","-0.18%"
"06/08/2015","4,266.60","4,222.00","4,326.50","4,222.00","465.62K","1.78%"
"05/08/2015","4,191.80","4,173.10","4,210.00","4,140.15","288.55K","0.72%"
"04/08/2015","4,161.75","4,150.95","4,194.95","4,113.60","400.05K","0.43%"
"03/08/2015","4,143.90","4,090.10","4,163.65","4,044.65","364.65K","1.66%"
"31/07/2015","4,076.10","3,967.00","4,093.50","3,956.05","704.77K","4.17%"
"30/07/2015","3,913.10","3,739.00","3,934.00","3,721.00","1.33M","5.41%"
"29/07/2015","3,712.35","3,765.00","3,784.50","3,668.00","435.55K","-0.98%"
"28/07/2015","3,749.10","3,896.90","3,910.00","3,737.25","518.98K","-2.74%"
"27/07/2015","3,854.85","3,895.00","3,910.10","3,826.75","339.72K","-1.38%"
"24/07/2015","3,908.90","3,926.00","3,939.00","3,885.70","317.58K","-0.11%"
"23/07/2015","3,913.40","3,873.95","3,964.90","3,873.95","540.42K","1.71%"
"22/07/2015","3,847.75","3,850.00","3,898.05","3,831.30","137.98K","-0.14%"
"21/07/2015","3,853.15","3,922.00","3,922.40","3,835.50","149.29K","-1.96%"
"20/07/2015","3,930.25","3,895.00","3,933.95","3,865.05","173.87K","1.37%"
"17/07/2015","3,877.05","3,870.00","3,888.40","3,851.50","226.66K","0.27%"
"16/07/2015","3,866.50","3,810.00","3,879.00","3,810.00","214.25K","1.35%"
"15/07/2015","3,815.00","3,790.90","3,819.95","3,780.05","193.21K","1.11%"
"14/07/2015","3,772.95","3,799.95","3,828.35","3,760.55","274.93K","0.39%"
"13/07/2015","3,758.15","3,750.70","3,790.00","3,701.00","193.02K","0.20%"
"10/07/2015","3,750.50","3,734.80","3,764.35","3,712.50","171.27K","0.49%"
"09/07/2015","3,732.05","3,712.00","3,758.90","3,711.55","192.86K","0.30%"
"08/07/2015","3,720.85","3,728.60","3,770.35","3,705.00","338.03K","-0.51%"
"07/07/2015","3,739.95","3,716.00","3,754.00","3,688.45","390.51K","0.63%"
"06/07/2015","3,716.70","3,546.00","3,732.75","3,546.00","478.31K","3.59%"
"03/07/2015","3,587.75","3,554.00","3,599.90","3,550.00","140.98K","1.13%"
"02/07/2015","3,547.70","3,572.00","3,589.95","3,536.40","143.68K","-0.72%"
"01/07/2015","3,573.60","3,548.00","3,608.10","3,535.40","262.69K","0.40%"
"30/06/2015","3,559.45","3,497.00","3,565.00","3,453.20","395.30K","1.09%"
"29/06/2015","3,521.15","3,499.00","3,541.00","3,428.00","226.05K","-0.25%"
"26/06/2015","3,530.10","3,497.00","3,540.00","3,489.50","244.89K","1.28%"
"25/06/2015","3,485.45","3,425.00","3,509.35","3,421.45","470.61K","1.48%"
"24/06/2015","3,434.55","3,443.35","3,475.00","3,421.15","273.83K","-0.26%"
"23/06/2015","3,443.35","3,435.00","3,448.80","3,423.00","153.33K","0.51%"
"22/06/2015","3,425.90","3,401.00","3,430.00","3,400.00","207.20K","1.22%"
"19/06/2015","3,384.75","3,391.05","3,426.70","3,374.40","353.25K","0.22%"
"18/06/2015","3,377.45","3,374.80","3,413.70","3,356.65","431.98K","0.90%"
"17/06/2015","3,347.20","3,300.00","3,363.70","3,300.00","361.28K","1.84%"
"16/06/2015","3,286.60","3,322.00","3,335.30","3,266.55","319.57K","-1.02%"
"15/06/2015","3,320.60","3,329.70","3,365.80","3,313.00","247.43K","0.09%"
"12/06/2015","3,317.55","3,316.20","3,339.95","3,303.85","155.67K","0.14%"
"11/06/2015","3,312.75","3,378.00","3,378.00","3,296.00","189.44K","-1.60%"
"10/06/2015","3,366.60","3,324.90","3,379.65","3,324.90","177.34K","1.35%"
"09/06/2015","3,321.90","3,400.00","3,400.00","3,313.00","216.15K","-2.50%"
"08/06/2015","3,407.05","3,425.00","3,448.00","3,393.85","185.49K","-0.25%"
"05/06/2015","3,415.60","3,430.00","3,471.80","3,405.00","152.44K","-0.19%"
"04/06/2015","3,422.00","3,433.10","3,469.70","3,399.00","165.52K","-0.18%"
"03/06/2015","3,428.05","3,467.00","3,475.00","3,399.00","148.27K","-1.32%"
"02/06/2015","3,473.75","3,525.00","3,531.10","3,465.00","172.24K","-1.83%"
"01/06/2015","3,538.45","3,528.00","3,572.00","3,521.60","158.44K","0.09%"
"29/05/2015","3,535.25","3,565.00","3,573.05","3,490.00","758.34K","0.21%"
"28/05/2015","3,527.95","3,586.80","3,600.00","3,500.25","291.37K","-1.64%"
"27/05/2015","3,586.65","3,495.30","3,598.50","3,495.00","239.92K","1.11%"
"26/05/2015","3,547.25","3,587.00","3,605.00","3,538.00","290.43K","-1.07%"
"25/05/2015","3,585.45","3,630.00","3,663.80","3,576.35","200.21K","-1.57%"
"22/05/2015","3,642.65","3,620.10","3,660.00","3,595.00","205.40K","0.65%"
"21/05/2015","3,619.20","3,623.00","3,649.55","3,590.00","229.87K","0.29%"
"20/05/2015","3,608.75","3,636.00","3,682.00","3,596.00","244.90K","-0.75%"
"19/05/2015","3,636.00","3,615.00","3,692.65","3,580.00","386.98K","0.37%"
"18/05/2015","3,622.45","3,500.00","3,634.00","3,495.00","346.82K","3.60%"
"15/05/2015","3,496.45","3,517.00","3,517.00","3,470.00","195.41K","-0.65%"
"14/05/2015","3,519.40","3,495.50","3,539.90","3,470.00","216.86K","0.72%"
"13/05/2015","3,494.15","3,496.95","3,530.00","3,455.00","390.52K","0.73%"
"12/05/2015","3,468.90","3,391.00","3,496.70","3,362.85","1.27M","3.25%"
"11/05/2015","3,359.70","3,380.00","3,409.75","3,338.75","243.38K","0.28%"
"08/05/2015","3,350.45","3,349.00","3,389.75","3,303.00","268.47K","2.06%"
"07/05/2015","3,282.90","3,311.20","3,346.00","3,250.05","419.94K","-2.10%"
"06/05/2015","3,353.40","3,390.00","3,408.80","3,283.05","407.94K","-1.45%"
"05/05/2015","3,402.65","3,390.00","3,420.00","3,351.05","314.80K","0.22%"
"04/05/2015","3,395.05","3,330.00","3,405.00","3,316.00","252.82K","2.56%"
"30/04/2015","3,310.25","3,380.00","3,380.00","3,276.50","801.54K","-2.13%"
"29/04/2015","3,382.45","3,413.00","3,457.25","3,350.00","233.77K","-0.87%"
"28/04/2015","3,412.25","3,387.00","3,430.80","3,340.85","276.79K","0.79%"
"27/04/2015","3,385.60","3,505.00","3,514.85","3,355.10","544.70K","-2.83%"
"24/04/2015","3,484.15","3,510.50","3,570.90","3,470.35","186.23K","-1.27%"
"23/04/2015","3,528.80","3,579.20","3,595.00","3,509.00","171.69K","-1.16%"
"22/04/2015","3,570.30","3,490.05","3,585.00","3,488.00","339.64K","3.13%"
"21/04/2015","3,462.00","3,575.90","3,614.00","3,452.00","387.22K","-2.94%"
"20/04/2015","3,567.00","3,650.00","3,715.95","3,540.20","303.00K","-2.20%"
"17/04/2015","3,647.15","3,665.40","3,700.00","3,620.00","258.44K","-0.90%"
"16/04/2015","3,680.30","3,730.00","3,741.25","3,663.20","233.59K","-1.95%"
"15/04/2015","3,753.60","3,780.00","3,800.00","3,731.65","293.65K","-1.10%"
"13/04/2015","3,795.35","3,780.00","3,807.70","3,731.50","263.46K","-0.05%"
"10/04/2015","3,797.40","3,746.00","3,807.80","3,706.35","215.43K","1.53%"
"09/04/2015","3,740.25","3,755.05","3,764.00","3,679.00","309.86K","-0.40%"
"08/04/2015","3,755.45","3,675.00","3,775.30","3,662.15","443.97K","1.92%"
"07/04/2015","3,684.85","3,668.00","3,704.95","3,645.20","232.95K","0.19%"
"06/04/2015","3,677.85","3,530.00","3,694.50","3,529.00","436.76K","4.08%"
"01/04/2015","3,533.65","3,541.00","3,566.80","3,501.70","282.79K","1.29%"
"31/03/2015","3,488.75","3,454.00","3,515.00","3,454.00","280.09K","1.85%"
"30/03/2015","3,425.30","3,457.80","3,457.80","3,373.00","281.93K","0.29%"
"27/03/2015","3,415.40","3,434.90","3,434.90","3,360.20","243.91K","-0.88%"
"26/03/2015","3,445.70","3,470.00","3,492.05","3,351.50","537.32K","-1.85%"
"25/03/2015","3,510.60","3,525.00","3,575.00","3,504.00","393.98K","-0.02%"
"24/03/2015","3,511.45","3,499.00","3,525.00","3,463.00","522.46K","1.53%"
"23/03/2015","3,458.65","3,430.00","3,469.85","3,428.50","189.69K","0.94%"
"20/03/2015","3,426.60","3,438.20","3,465.00","3,371.50","307.93K","0.06%"
"19/03/2015","3,424.70","3,470.00","3,480.00","3,411.05","277.95K","-0.07%"
"18/03/2015","3,427.05","3,444.90","3,453.95","3,400.00","170.46K","-0.30%"
"17/03/2015","3,437.45","3,360.00","3,452.75","3,351.00","354.41K","3.76%"
"16/03/2015","3,313.00","3,390.00","3,398.60","3,300.15","217.81K","-1.88%"
"13/03/2015","3,376.55","3,459.00","3,464.10","3,358.50","194.11K","-1.64%"
"12/03/2015","3,432.80","3,470.00","3,505.00","3,415.20","368.27K","-1.01%"
"11/03/2015","3,468.00","3,458.85","3,531.95","3,368.05","309.70K","0.89%"
"10/03/2015","3,437.30","3,480.00","3,480.00","3,410.75","222.06K","-0.87%"
"09/03/2015","3,467.55","3,451.90","3,517.00","3,451.90","234.12K","0.76%"
"05/03/2015","3,441.50","3,388.10","3,449.90","3,388.10","280.90K","1.51%"
"04/03/2015","3,390.45","3,407.90","3,468.00","3,370.60","290.73K","-0.51%"
