"Date","Price","Open","High","Low","Vol.","Change %"
"22/03/2024","1,608.90","1,568.90","1,621.00","1,566.10","4.94M","2.79%"
"21/03/2024","1,565.20","1,564.80","1,570.85","1,542.55","2.57M","1.02%"
"20/03/2024","1,549.35","1,559.95","1,559.95","1,520.50","3.41M","0.06%"
"19/03/2024","1,548.45","1,574.00","1,579.75","1,540.40","3.69M","-1.45%"
"18/03/2024","1,571.25","1,548.25","1,576.25","1,543.45","2.28M","1.49%"
"15/03/2024","1,548.20","1,568.75","1,573.50","1,541.20","3.42M","-1.40%"
"14/03/2024","1,570.20","1,567.25","1,574.30","1,546.25","3.06M","0.74%"
"13/03/2024","1,558.60","1,581.20","1,592.20","1,544.00","2.88M","-1.62%"
"12/03/2024","1,584.30","1,592.20","1,603.80","1,580.15","1.29M","-0.58%"
"11/03/2024","1,593.60","1,615.15","1,627.00","1,586.40","2.99M","-0.75%"
"07/03/2024","1,605.70","1,610.75","1,619.95","1,600.40","2.44M","0.11%"
"06/03/2024","1,604.00","1,575.00","1,606.75","1,566.40","1.76M","1.89%"
"05/03/2024","1,574.20","1,553.80","1,576.40","1,535.40","1.41M","1.42%"
"04/03/2024","1,552.10","1,550.55","1,569.10","1,548.90","2.30M","0.10%"
"02/03/2024","1,550.55","1,561.95","1,564.05","1,540.35","95.49K","-0.56%"
"01/03/2024","1,559.25","1,580.00","1,581.90","1,548.05","4.07M","-1.19%"
"29/02/2024","1,577.95","1,575.00","1,587.80","1,556.50","2.35M","0.26%"
"28/02/2024","1,573.85","1,586.50","1,587.45","1,562.65","578.32K","-0.56%"
"27/02/2024","1,582.75","1,556.75","1,585.45","1,549.05","2.14M","1.66%"
"26/02/2024","1,556.95","1,562.00","1,566.90","1,548.70","974.89K","-0.28%"
"23/02/2024","1,561.25","1,558.00","1,568.45","1,550.40","1.34M","0.21%"
"22/02/2024","1,558.05","1,549.60","1,561.00","1,535.00","1.98M","0.95%"
"21/02/2024","1,543.40","1,540.05","1,549.50","1,533.00","1.99M","0.31%"
"20/02/2024","1,538.70","1,532.00","1,542.00","1,512.25","2.23M","0.56%"
"19/02/2024","1,530.10","1,514.85","1,532.75","1,507.40","777.82K","1.33%"
"16/02/2024","1,509.95","1,515.00","1,522.00","1,504.85","3.48M","0.00%"
"15/02/2024","1,509.90","1,529.05","1,529.05","1,505.55","2.16M","-0.69%"
"14/02/2024","1,520.40","1,545.80","1,545.80","1,508.05","2.11M","-1.41%"
"13/02/2024","1,542.20","1,537.50","1,551.00","1,525.45","4.69M","0.51%"
"12/02/2024","1,534.45","1,539.85","1,555.10","1,521.10","4.06M","-0.02%"
"09/02/2024","1,534.80","1,500.90","1,539.00","1,492.25","6.34M","2.35%"
"08/02/2024","1,499.60","1,501.05","1,507.50","1,485.35","2.21M","0.23%"
"07/02/2024","1,496.20","1,483.00","1,500.45","1,480.40","2.26M","1.43%"
"06/02/2024","1,475.10","1,450.00","1,478.00","1,446.55","1.89M","0.77%"
"05/02/2024","1,463.80","1,426.80","1,466.00","1,423.60","3.48M","3.33%"
"02/02/2024","1,416.65","1,409.00","1,433.85","1,405.15","1.78M","0.62%"
"01/02/2024","1,407.95","1,427.00","1,430.45","1,398.90","2.44M","-0.74%"
"31/01/2024","1,418.45","1,371.70","1,438.90","1,366.90","5.80M","3.40%"
"30/01/2024","1,371.75","1,401.90","1,409.20","1,369.15","1.94M","-2.08%"
"29/01/2024","1,400.85","1,365.00","1,420.85","1,355.20","3.41M","2.38%"
"25/01/2024","1,368.30","1,383.55","1,390.10","1,348.50","1.87M","-1.00%"
"24/01/2024","1,382.10","1,380.00","1,390.00","1,360.35","1.72M","0.28%"
"23/01/2024","1,378.30","1,316.00","1,394.60","1,316.00","4.13M","3.93%"
"20/01/2024","1,326.15","1,339.00","1,346.35","1,324.25","284.11K","-0.71%"
"19/01/2024","1,335.60","1,340.00","1,344.40","1,329.15","1.61M","-0.01%"
"18/01/2024","1,335.75","1,298.95","1,343.40","1,290.00","2.84M","2.83%"
"17/01/2024","1,299.00","1,312.00","1,320.45","1,294.35","2.54M","-1.10%"
"16/01/2024","1,313.45","1,330.05","1,331.55","1,307.55","824.50K","-1.20%"
"15/01/2024","1,329.35","1,329.20","1,340.00","1,321.60","1.48M","0.26%"
"12/01/2024","1,325.95","1,319.00","1,330.00","1,305.55","1.54M","0.74%"
"11/01/2024","1,316.25","1,328.00","1,331.90","1,310.20","1.32M","-0.65%"
"10/01/2024","1,324.85","1,330.05","1,333.50","1,313.15","1.28M","0.06%"
"09/01/2024","1,324.00","1,314.95","1,333.45","1,306.85","1.71M","1.43%"
"08/01/2024","1,305.30","1,305.40","1,309.95","1,299.30","1.68M","0.39%"
