"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2024","17,972.10","17,885.35","18,084.70","17,884.70","19.86M","0.74%"
"01/02/2024","17,839.20","18,004.60","18,053.10","17,734.75","30.76M","-0.55%"
"31/01/2024","17,938.65","17,463.30","18,003.15","17,451.25","29.61M","2.68%"
"30/01/2024","17,470.15","17,674.00","17,750.50","17,452.70","15.61M","-0.87%"
"29/01/2024","17,623.60","17,511.35","17,676.90","17,432.45","20.44M","0.52%"
"25/01/2024","17,532.55","17,721.05","17,738.90","17,438.90","40.10M","-1.30%"
"24/01/2024","17,763.70","17,557.05","17,796.00","17,431.60","24.34M","1.39%"
"23/01/2024","17,520.30","17,361.95","17,689.95","17,347.35","32.19M","1.66%"
"20/01/2024","17,234.90","17,452.50","17,480.00","17,213.00","","-0.88%"
"19/01/2024","17,388.00","17,416.45","17,460.55","17,308.10","16.43M","0.33%"
"18/01/2024","17,331.25","17,128.35","17,382.35","16,818.70","22.61M","1.03%"
"17/01/2024","17,154.00","17,285.35","17,319.70","17,130.45","21.67M","-0.96%"
"16/01/2024","17,320.15","17,526.95","17,531.85","17,235.70","25.98M","-1.14%"
"15/01/2024","17,520.45","17,423.25","17,603.85","17,334.15","22.31M","1.00%"
"12/01/2024","17,347.45","17,427.00","17,430.15","17,271.40","16.54M","-0.19%"
"11/01/2024","17,380.55","17,449.40","17,470.75","17,331.15","14.50M","-0.12%"
"10/01/2024","17,401.90","17,401.05","17,476.00","17,271.65","18.50M","0.32%"
"09/01/2024","17,346.30","17,319.25","17,414.80","17,240.35","13.72M","0.87%"
"08/01/2024","17,195.95","17,435.80","17,438.45","17,162.00","18.53M","-0.94%"
"05/01/2024","17,358.60","17,483.50","17,484.60","17,241.10","25.74M","-0.31%"
"04/01/2024","17,413.20","17,426.50","17,529.85","17,326.75","23.78M","0.19%"
"03/01/2024","17,379.80","17,311.85","17,423.45","17,241.05","45.02M","0.61%"
"02/01/2024","17,274.30","16,903.95","17,301.40","16,878.50","52.40M","2.46%"
"01/01/2024","16,858.75","16,859.50","16,914.10","16,819.00","20.45M","0.16%"
"29/12/2023","16,831.80","16,878.95","16,909.10","16,769.50","15.39M","-0.17%"
"28/12/2023","16,860.85","16,698.10","16,894.10","16,617.35","28.73M","1.23%"
"27/12/2023","16,655.95","16,609.00","16,690.90","16,530.45","20.50M","0.56%"
"26/12/2023","16,562.60","16,418.60","16,580.65","16,385.70","24.42M","1.03%"
"22/12/2023","16,394.35","16,312.50","16,500.90","16,281.45","29.45M","0.96%"
"21/12/2023","16,238.15","16,048.40","16,278.20","15,868.15","19.77M","0.73%"
"20/12/2023","16,121.25","16,461.75","16,467.80","16,086.00","23.82M","-1.65%"
"19/12/2023","16,391.25","16,407.80","16,433.80","16,228.30","19.40M","0.36%"
"18/12/2023","16,332.15","16,196.40","16,438.75","16,161.60","31.50M","0.94%"
"15/12/2023","16,179.80","16,250.90","16,258.30","16,150.50","23.26M","0.15%"
"14/12/2023","16,155.70","16,202.30","16,210.70","16,089.75","20.96M","0.08%"
"13/12/2023","16,142.40","15,986.85","16,168.55","15,938.75","20.40M","1.12%"
"12/12/2023","15,963.50","16,109.80","16,167.95","15,914.30","17.43M","-0.48%"
"11/12/2023","16,039.90","16,077.90","16,089.95","15,909.55","17.80M","-0.76%"
"08/12/2023","16,163.15","16,311.05","16,365.60","16,079.30","18.03M","-0.80%"
"07/12/2023","16,294.20","16,163.30","16,305.90","16,137.50","19.04M","0.77%"
"06/12/2023","16,169.55","16,297.40","16,356.65","16,106.95","17.48M","-0.37%"
"05/12/2023","16,229.65","16,248.20","16,304.80","16,174.15","15.02M","0.01%"
"04/12/2023","16,228.40","16,372.05","16,389.10","16,183.05","18.00M","-0.18%"
"01/12/2023","16,257.05","16,298.95","16,385.35","16,222.85","15.67M","0.11%"
"30/11/2023","16,238.90","15,973.20","16,279.10","15,971.75","32.81M","1.56%"
"29/11/2023","15,990.10","15,952.50","16,016.60","15,903.75","20.37M","0.56%"
"28/11/2023","15,900.30","15,980.80","16,006.50","15,884.35","16.71M","-0.34%"
"24/11/2023","15,954.50","15,884.70","16,046.75","15,880.90","28.67M","0.87%"
"23/11/2023","15,817.45","16,092.45","16,094.55","15,792.00","19.34M","-1.57%"
"22/11/2023","16,069.80","16,008.90","16,175.25","15,987.10","22.04M","0.63%"
"21/11/2023","15,968.90","15,849.95","15,997.60","15,814.65","13.96M","1.03%"
"20/11/2023","15,806.75","15,809.45","15,950.80","15,782.95","20.35M","0.01%"
"17/11/2023","15,804.50","15,671.70","15,821.25","15,658.70","15.95M","0.98%"
"16/11/2023","15,651.10","15,535.45","15,715.25","15,518.60","20.65M","0.87%"
"15/11/2023","15,516.25","15,596.10","15,600.75","15,472.55","20.10M","0.12%"
"13/11/2023","15,497.15","15,533.90","15,607.85","15,430.40","22.65M","-0.42%"
"12/11/2023","15,562.65","15,576.45","15,599.60","15,541.50","4.09K","0.30%"
"10/11/2023","15,516.50","15,491.70","15,529.10","15,386.30","19.75M","0.16%"
"09/11/2023","15,491.85","15,558.65","15,574.95","15,444.60","22.25M","-0.03%"
"08/11/2023","15,497.25","15,335.85","15,561.85","15,314.40","27.39M","1.48%"
"07/11/2023","15,271.75","15,078.80","15,295.80","15,045.40","20.12M","1.32%"
"06/11/2023","15,072.30","14,934.45","15,088.80","14,929.85","16.59M","1.28%"
"03/11/2023","14,882.35","14,921.65","14,960.05","14,864.85","13.89M","0.32%"
"02/11/2023","14,834.45","14,820.95","14,894.90","14,803.85","17.64M","0.67%"
"01/11/2023","14,735.25","14,727.15","14,785.95","14,642.60","16.36M","0.35%"
"31/10/2023","14,683.65","14,826.75","14,871.25","14,629.20","16.55M","-0.62%"
"30/10/2023","14,775.60","14,786.65","14,827.65","14,687.40","15.36M","0.25%"
"27/10/2023","14,738.50","14,706.50","14,818.95","14,667.95","12.51M","0.61%"
"26/10/2023","14,648.55","14,751.50","14,761.20","14,544.25","20.04M","-1.02%"
"25/10/2023","14,800.15","14,969.35","14,990.60","14,754.80","19.62M","-0.75%"
"23/10/2023","14,911.65","15,060.70","15,218.00","14,882.05","33.99M","-1.29%"
"20/10/2023","15,107.15","15,239.15","15,243.45","15,070.05","20.33M","-1.09%"
"19/10/2023","15,273.40","15,296.30","15,310.85","15,191.95","16.49M","-0.38%"
"18/10/2023","15,331.30","15,231.90","15,394.15","15,212.65","33.58M","0.78%"
"17/10/2023","15,211.95","15,222.60","15,293.20","15,162.50","12.51M","0.31%"
"16/10/2023","15,164.75","15,230.00","15,249.95","15,147.15","12.83M","-0.46%"
"13/10/2023","15,235.05","15,106.45","15,244.95","15,093.80","13.32M","0.32%"
"12/10/2023","15,186.20","15,243.80","15,269.65","15,137.05","15.17M","0.06%"
"11/10/2023","15,176.60","15,136.75","15,257.85","15,136.45","14.39M","0.46%"
"10/10/2023","15,106.70","15,114.25","15,142.05","15,055.30","11.77M","0.02%"
"09/10/2023","15,103.85","15,002.70","15,186.60","14,993.05","13.03M","-0.16%"
"06/10/2023","15,128.45","15,086.80","15,161.65","15,082.05","13.42M","0.71%"
"05/10/2023","15,021.40","15,097.20","15,132.75","14,988.75","12.49M","-0.30%"
"04/10/2023","15,067.15","15,243.45","15,260.70","14,985.00","18.06M","-1.40%"
"03/10/2023","15,281.30","15,425.65","15,441.05","15,260.65","17.49M","-0.92%"
"29/09/2023","15,422.75","15,112.10","15,513.65","15,108.55","34.94M","2.66%"
"28/09/2023","15,023.15","15,195.70","15,217.65","14,983.35","25.06M","-0.90%"
"27/09/2023","15,159.80","15,038.40","15,185.50","15,001.35","22.31M","1.19%"
"26/09/2023","14,981.65","15,032.90","15,078.60","14,964.40","12.50M","-0.24%"
"25/09/2023","15,017.40","15,049.40","15,130.35","14,986.05","14.35M","-0.34%"
"22/09/2023","15,069.10","15,279.35","15,312.65","14,980.45","26.50M","-1.55%"
"21/09/2023","15,306.70","15,432.85","15,525.45","15,282.00","19.73M","-0.99%"
"20/09/2023","15,460.20","15,498.75","15,514.25","15,426.10","17.78M","-0.28%"
"18/09/2023","15,503.45","15,593.80","15,667.45","15,482.00","15.13M","-0.51%"
"15/09/2023","15,583.55","15,525.55","15,601.05","15,513.85","26.63M","0.61%"
"14/09/2023","15,489.30","15,484.35","15,530.10","15,413.10","19.30M","0.26%"
"13/09/2023","15,448.95","15,368.00","15,466.35","15,321.60","32.84M","0.78%"
"12/09/2023","15,328.65","15,358.00","15,536.10","15,275.55","30.49M","0.12%"
"11/09/2023","15,309.95","15,265.35","15,351.95","15,248.15","20.84M","0.39%"
"08/09/2023","15,250.55","15,327.30","15,345.45","15,206.00","13.86M","-0.36%"
"07/09/2023","15,306.15","15,372.75","15,405.40","15,283.60","17.97M","-0.32%"
"06/09/2023","15,355.30","15,279.70","15,426.00","15,218.25","22.68M","0.90%"
"05/09/2023","15,218.25","15,099.35","15,267.15","15,052.60","22.55M","1.10%"
"04/09/2023","15,052.60","15,063.30","15,093.85","15,007.00","15.07M","0.27%"
"01/09/2023","15,011.80","15,125.00","15,151.20","14,991.60","16.53M","-0.56%"
"31/08/2023","15,095.90","15,162.20","15,184.90","15,034.25","23.28M","-0.20%"
"30/08/2023","15,125.50","15,178.90","15,239.40","15,102.60","14.33M","0.03%"
"29/08/2023","15,121.10","15,208.65","15,256.55","15,100.20","14.34M","-0.27%"
"28/08/2023","15,161.80","15,052.80","15,196.35","15,024.10","14.70M","0.91%"
